company,relation,registered
天天快递,注册资本,15072.6436
TNT快递,注册资本,0.1
天地华宇,注册资本,10000
天美快递,注册资本,30000
同舟行物流,注册资本,500
腾达速递,注册资本,50
泰国138,注册资本,0.1
通达兴物流,注册资本,500
淘韩国际快递,注册资本,0.1
特急送,注册资本,100
天天快物流,注册资本,200
天马迅达,注册资本,500
天翔快递,注册资本,500
同城快寄,注册资本,200000
驼峰国际,注册资本,200
TransRush,注册资本,2352.4958
TST速运通,注册资本,0.1
泰国中通CTO,注册资本,0.1
泰国中通ZTO,注册资本,0.1
铁中快运,注册资本,600
TCXB国际物流,注册资本,0.1
淘布斯国际物流,注册资本,500
泰进物流,注册资本,100
UPS快递查询,注册资本,7067
UC优速快递,注册资本,6022.0458
UCS（合众速递）,注册资本,0.1
USPS美国邮政,注册资本,0.1
UEQ快递,注册资本,0.1
UEX国际物流,注册资本,0.1
UTAO 优到,注册资本,500
万家物流,注册资本,2000
万家通,注册资本,300
万家物流,注册资本,2000
万家通,注册资本,300
威时沛运,注册资本,6420
微转运,注册资本,100
万通快递,注册资本,50
渥途国际速运,注册资本,0.1
豌豆物流,注册资本,5000
万家康物流,注册资本,300
维普恩物流,注册资本,600
51跨境通,注册资本,0.1
万达美,注册资本,1000
沃埃家,注册资本,1269.8413
潍鸿,注册资本,50
万运国际快递,注册资本,0.1
武汉优进汇,注册资本,500
迅达速递,注册资本,50
信丰物流,注册资本,1000
喜来快递,注册资本,6000
新顺丰（NSF）,注册资本,0.1
新速航,注册资本,90000
西邮寄,注册资本,3000
新杰物流,注册资本,8000
心怡物流,注册资本,50
新时速物流,注册资本,1000
翔腾物流,注册资本,1000
西翼物流,注册资本,2050
小熊物流,注册资本,3200
西安运逸快递,注册资本,100
星空国际,注册资本,110000
雪域快递,注册资本,1000
西游寄,注册资本,2005.18
xLobo,注册资本,527
迅速快递,注册资本,50
香港伟豪国际物流,注册资本,0.1
鑫远东速运,注册资本,100
新元国际,注册资本,50
圆通速递,注册资本,82122.1341
韵达快递,注册资本,18527.8277
韵达美国件,注册资本,0.1
邮政国内,注册资本,13760000
邮政国际,注册资本,82122.1341
邮政EMS速递,注册资本,50
运通快递,注册资本,50
宇鑫物流,注册资本,10000
远成物流,注册资本,35914.1553
优速快递,注册资本,50
越丰物流,注册资本,1000
源安达快递,注册资本,50
原飞航物流,注册资本,10900
亚风速递,注册资本,50
邮必佳,注册资本,0.1
英脉物流,注册资本,1000
云豹国际货运,注册资本,500
云南中诚,注册资本,5000
永昌物流,注册资本,1000
优速通达,注册资本,500
优莎速运,注册资本,3000
易客满,注册资本,588.24
英超物流,注册资本,100
远洋国际,注册资本,60000
一号仓,注册资本,600
远成快运,注册资本,50000
一号线,注册资本,30000
壹品速递,注册资本,500
易达通快递,注册资本,50
易优包裹,注册资本,200000
韵丰物流,注册资本,1500
驿扬国际速运,注册资本,0.1.8
韵达快运,注册资本,50
洋包裹,注册资本,12331
优联吉运,注册资本,10
优邦速运,注册资本,8170.5
玥玛速运,注册资本,501
易转运,注册资本,500
一起送,注册资本,2000
永邦国际物流,注册资本,500
易航物流,注册资本,50
一速递,注册资本,10
洋口岸,注册资本,1000
优优速递,注册资本,1000
易普递,注册资本,76731.2
雅澳物流,注册资本,5000
易邮国际,注册资本,200
壹米滴答,注册资本,21610.2127
邮邦国际,注册资本,30
云邮跨境快递,注册资本,0.1
邮来速递,注册资本,0.1
易达国际速递,注册资本,82122.1341
一辉物流,注册资本,3500
亚洲顺物流,注册资本,3118
越中国际物流,注册资本,500
宇航通物流,注册资本,1000
耀飞同城快递,注册资本,0.1
YCG物流,注册资本,0.1
远航国际快运,注册资本,0.1
易邮速运,注册资本,350
优海国际速递,注册资本,1000
易达快运,注册资本,50
一智通,注册资本,3007.5676
优拜物流,注册资本,500
中通快递,注册资本,60000
宅急送,注册资本,58203.2944
中铁快运,注册资本,289235.576
中铁物流,注册资本,15223.02
中国东方(COE),注册资本,0.1
芝麻开门,注册资本,10000
中国邮政快递,注册资本,1000
郑州建华,注册资本,1000
中速快件,注册资本,1000
郑州速捷,注册资本,50
众辉达物流,注册资本,1000
转运四方,注册资本,1000
卓志速运,注册资本,1200
纵通速运,注册资本,200
直德邮,注册资本,200
中邮电商,注册资本,0.1
中骅物流,注册资本,50
中远e环球,注册资本,0.1
珠峰速运,注册资本,5000
中通快运,注册资本,5000
中翼国际物流,注册资本,3000
中集冷云,注册资本,4000
增速跨境,注册资本,0.1
众川国际,注册资本,57329
中环转运,注册资本,0.1
中环快递,注册资本,0.1
转运中国,注册资本,13000
中骅物流,注册资本,50
志腾物流,注册资本,50
转瞬达集运,注册资本,200
振捷国际货运,注册资本,500
中运全速,注册资本,500
正途供应链,注册资本,200
中欧物流,注册资本,59000
百递网络,注册资本,733.3333
