company name,industry,registered,scale
北京丰越供应链,商务服务业,500万(元),供应链管理；企业管理；物业管理；餐饮管理；健康咨询（须经审批的诊疗活动除外）；电脑图文设计、制作；经济贸易咨询；租赁机械设备；代理进出口、货物进出口、技术进出口；技术开发、技术推广、技术服务；设计、制作、代理、发布广告；国内道路货运代理；室内外装饰设计；清洁服务；仓储服务；销售新鲜水果、新鲜蔬菜、办公用品、日用品、花卉、工艺品、化工产品、五金交电（不含电动自行车）、机械设备、针纺织品、汽车零配件、通讯设备、电子产品；销售食品；道路货物运输。（企业依法自主选择经营项目，开展经营活动；销售食品、道路货物运输以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
败欧洲,商务服务业,-,有关本公司的业务联络。
标杆物流,装卸搬运和仓储业,50万(元),道路普通货物运输；货物仓储(危险品除外)；汽车及零配件、二手车销售；代办车辆车检、保险、过户、上牌材料申报服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
邦通国际,科技推广和应用服务业,200万(元),技术推广服务；维修手机、通讯设备。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
贝业物流,道路运输业,"5,000万(元)",道路货物运输：国内货运代理（船舶代理除外）；承办海运、陆路、空运进出口货物的国际运输代理业务；仓储服务（除食品、危险品），装卸搬运服务；商务信息咨询；在上海市松江区油墩港路111号内从事房屋租赁，物业管理，停车场服务；食品流通，从事五金交电、汽摩配件、建筑装潢材料、日用百货、体育用品、办公用品的批发、佣金代理（除拍卖外）、进出口及相关的配套服务（不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）。 【依法须经批准的项目，经相关部门批准后方可开展经营活动】
八达通快递,商务服务业,50.5万(元),国内快递（邮政企业专营业务除外）；国内快递业务咨询；普通货物道路运输（凭有效许可证经营）；网络建设，网络维护；打印设备、文具、手机及配件、电脑设备及耗材、打印机耗材、水果、蔬菜的销售；食品经营（凭有效许可证经营）；国家允许经营的进出口业务；自有房屋租赁；自有场地租赁；机械设备租赁；办公设备租赁；物业服务。
帮帮发,通用设备制造业,100万(元),阀门、汽车配件、摩托车配件、水暖管件、塑料制品、橡胶制品制造；货物进出口、技术进出口。
报通快递,商务服务业,"1,000万(元)",报纸发行；国内快递（邮政企业专营业务除外）（凭《快递业务经营许可证》经营）；普通货运；仓储服务（危险化学品、易制毒品除外）；预包装食品的销售（含冷藏冷冻食品）；设计、制作、发布国内广告业务；承办庆典服务；日用百货、工艺礼品（古玩除外）、五金交电、家具用品及相关配件、针纺织品、服装鞋帽、体育用品、钟表、电子产品、玩具、未经加工的初级农产品、果品蔬菜、散装食品（凭许可证经营）的销售；环保产品的研发与销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
百通物流,道路运输业,501万(元),普通货运、货物专用运输（集装箱、冷藏保鲜、罐式）；大型货物运输（三类）；物流服务、信息配载、仓储服务、货物中转；机械设备吊装租赁服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。
邦泰快运,道路运输业,100万(元),法律、法规、国务院决定规定禁止的不得经营；法律、法规、国务院决定规定应当许可（审批）的，经审批机关批准后凭许可（审批）文件经营;法律、法规、国务院决定规定无需许可（审批）的，市场主体自主选择经营。（道路普通货物运输；货运代理；货运信息咨询服务；仓储服务（除危化品）；货物装卸、配送及包装。）
COE（东方快递）,None,0,None
出口易,货币金融服务,"1,871,869.6778万(元)",经营金融业务（范围详见中国银监会的批文）。
